Player,Team,Min,G,MPG,OPM,DPM
Thon Maker,mil,1404,78,18,-0.9711713,0.5857052
Mirza Teletovic,mil,1110,74,15,-0.8672019,-1.5255226
Jason Terry,mil,929,78,12,-0.9596355,-0.9213983
D.J. Wilson,mil,780,78,10,-2.2851727,-0.3599040
John Henson,mil,740,74,10,-2.6088314,2.1862183
Jabari Parker,mil,725,29,25,0.6882930,-1.0807616
Rashad Vaughn,mil,385,77,5,-1.9786843,-1.0269283
Sterling Brown,mil,234,78,3,-1.7987878,-0.5529990
Andrew Wiggins,min,2886,78,37,1.5490651,-1.8883754
Karl-Anthony Towns,min,2886,78,37,3.7127409,0.2901329
Jimmy Butler,min,2812,76,37,3.8335464,0.9826076
Jeff Teague,min,2652,78,34,1.6189809,-0.8208975
Gorgui Dieng,min,1950,78,25,-0.9687052,2.6130502
Taj Gibson,min,1900,76,25,-1.9521391,1.0794570
Jamal Crawford,min,1386,77,18,-0.6930306,-2.7840118
Tyus Jones,min,1170,78,15,-0.3004019,-0.8081790
Nemanja Bjelica,min,912,76,12,-0.7187529,0.7037245
Shabazz Muhammad,min,892,74,12,-0.0895634,-3.1203935
Cole Aldrich,min,234,78,3,-2.2126200,2.5597508
Anthony Davis,nop,2700,75,36,1.0654330,3.1851826
DeMarcus Cousins,nop,2550,75,34,2.7048805,2.2869942
Jrue Holiday,nop,2304,72,32,1.2927288,0.1411743
Rajon Rondo,nop,2156,77,28,-1.0481389,-0.3835063
Dante Cunningham,nop,1950,78,25,-1.3638489,-0.4704919
E'Twaun Moore,nop,1925,77,25,-0.7609547,-1.2243587
Tony Allen,nop,1776,74,24,-1.8997012,1.8541849
Ian Clark,nop,1170,78,15,-0.6697700,-1.6648545
Darius Miller,nop,780,78,10,-1.2196209,-0.9117754
Jordan Crawford,nop,780,78,10,-0.1538198,-1.6163164
Cheick Diallo,nop,674,78,9,-3.2389472,1.0972373
Solomon Hill,nop,525,21,25,-0.8408142,0.7086140
Alexis Ajinca,nop,390,78,5,-3.2244711,1.3974653
Kristaps Porzingis,nyk,2541,77,33,0.0777943,2.1338787
Courtney Lee,nyk,2496,78,32,-0.4914857,-1.0625547
Tim Hardaway Jr.,nyk,2340,78,30,1.0016669,-1.4194859
Willy Hernangomez,nyk,1872,78,24,-0.5809909,0.8187213
Ramon Sessions,nyk,1672,76,22,-1.3646475,-1.6040534
Enes Kanter,nyk,1560,78,20,0.6821885,-1.0166485
Ron Baker,nyk,1404,78,18,-2.0056336,-0.7899048
Michael Beasley,nyk,1155,77,15,-1.6249309,-0.3564949
Doug McDermott,nyk,1125,75,15,-0.6281433,-2.6708117
