Player,Team,Min,G,MPG,OPM,DPM,Playing
Joakim Noah,nyk,415,54,7.946183953033269,-1.7205364970645793,2.1666172211350294,1
Kristaps Porzingis,nyk,2541,77,32.66159536604089,0.6898050963081863,0.5569336677367576,1
Kyle O'Quinn,nyk,616,77,11.817423613581564,-0.9244943970117395,3.3173481856990397,1
Lance Thomas,nyk,1080,72,15.799603174603176,-2.1879420819490587,-1.2592512735326689,1
Luke Kornet,nyk,0,0,0,-4.0313783,0.95445299,1
Michael Beasley,nyk,1155,77,15.149511080252275,-2.3215862089914947,-0.7267891251518834,1
Mindaugas Kuzminskas,,390,78,4.98804780876494,-1.0608615537848605,-1.183069920318725,1
Nigel Hayes,,0,0,0,-2.2105823,-1.0984755,1
Ramon Sessions,nyk,1672,76,20.36995377503852,-2.1303909861325114,-1.4194556240369798,1
Ron Baker,nyk,1404,78,17.2663139329806,-1.7155822222222223,-0.7713530158730157,1
Tim Hardaway Jr.,nyk,2340,78,30,1.0016669,-1.4194859,0
Trey Burke,,0,0,0,-0.20220995,-2.7322767,1
Willy Hernangomez,nyk,1872,78,20.93732224896084,-0.7494570444104134,1.0720683767228176,1
Alex Abrines,okc,1404,78,17.98107481559536,-0.665949367755532,-1.4177506849315067,1
Andre Roberson,okc,2310,77,27.994629948364885,-1.5929667383821,2.443468717728055,0
Carmelo Anthony,okc,2376,72,32.902965572094075,-0.7694394756277697,-1.016414327917282,1
Dakari Johnson,okc,624,78,7.788705950317736,-2.204614124783362,1.0124202772963606,1
Daniel Hamilton,okc,0,0,0.031746031746031744,-0.8965019642857143,-0.2505385218253968,1
Isaiah Canaan,,0,0,0.031746031746031744,-1.0086727182539683,-1.9831253968253968,1
Jerami Grant,okc,1452,77,20.38403592640881,-1.7844885593220339,0.7940868644067797,1
Josh Huestis,okc,0,0,3.6549232158988256,-1.7935412601626017,0.24751383468834687,1
Kyle Singler,okc,624,78,8.0,-2.930649812030075,-0.6448743421052631,1
Nick Collison,okc,234,78,3.082442748091603,-2.9690093511450377,0.6409358778625954,1
Patrick Patterson,okc,1540,77,17.345565749235476,-0.7984513761467887,0.3980060206422018,1
Paul George,okc,2772,77,36.54443349753695,1.5352549261083746,0.9525425756509499,1
Raymond Felton,okc,1386,77,17.38524749776064,-1.4359277602523657,-1.1594107255520505,1
Russell Westbrook,okc,2618,77,35.295742377319534,4.737219850441876,2.4009598912304555,1
Semaj Christon,,0,0,0,-3.0275741,-1.5291781,1
Steven Adams,okc,2340,78,31.08237661652151,1.0316464370546319,1.5254775138558987,1
Terrance Ferguson,okc,0,0,1.4705882352941175,-2.2910088,-0.277760948,1
Aaron Gordon,orl,2325,75,32.68149031296572,2.1279388599105813,0.02130938897168405,1
Adreian Payne,orl,0,0,0.001996007984031936,-2.142109481037924,0.2449113373253493,1
Arron Afflalo,orl,385,77,8.238636363636363,-2.8076158125,-2.0537409374999998,0
Bismack Biyombo,orl,1716,78,18.85359438924606,-3.9100885063559327,1.4580951271186442,1
D.J. Augustin,orl,624,78,13.70138821941579,0.1915011664899258,-2.5254995227995756,1
Damjan Rudez,,0,0,0,-2.4963884,-0.79907525,1
Elfrid Payton,orl,2340,78,28.99453860640301,0.5602046139359699,-0.27752052730696797,1
Evan Fournier,orl,2400,75,32.314126394052046,1.8093605204460965,-1.7533665799256506,1
Jonathan Isaac,orl,1092,78,15.913509246729816,-2.210562110960758,1.1828580514208389,1
Jonathon Simmons,orl,1458,78,24.738202922799406,-1.101304094010614,-1.2714408642911297,1
Mario Hezonja,orl,624,78,9.363100202549743,-2.3295596985583225,-0.7107870904325032,1
Marreese Speights,orl,1092,78,13.173137207619966,-0.3094726127320955,-1.4038211538461538,1
Nikola Vucevic,orl,2128,76,29.56314359089436,0.8543653651482284,1.9365705712219812,1
Shelvin Mack,orl,1078,77,15.54463369587523,-1.4171110609480813,-1.4433346501128668,1
Terrence Ross,orl,2028,78,26.097330179114564,-0.5170874999999998,-0.37119251858736063,0
Wes Iwundu,orl,390,78,5,-1.485948,-0.9096824,1
Amir Johnson,phi,1170,78,15.262921348314606,-0.974261011235955,2.870392078651685,1
Ben Simmons,phi,1876,67,33.37682705643871,0.13874070735090152,2.381868238557559,1
Dario Saric,phi,2028,78,27.92451273904809,-0.5324212470214457,-0.38016536934074663,1
Furkan Korkmaz,phi,390,78,5.020050125313283,-1.0127748684210525,-1.101601409774436,1
Jahlil Okafor,bkn,888,74,12.023809523809524,-2.921306857142857,-0.29174819047619044,1
James Blackmon Jr.,,0,0,0,-1.8336229,-2.2923894,1
James Michael McAdoo,phi,0,0,0.09664694280078896,-2.2572490138067063,0.5528995956607495,1
Jerryd Bayless,phi,1044,58,22.491733117087897,-1.1241496215704825,-1.3957696310312206,1
JJ Redick,phi,2184,78,28,1.3187925,-1.9954801,1
Joel Embiid,phi,1250,50,28.235868050178105,0.5238968909710392,2.740712521294719,1
Justin Anderson,phi,624,78,8.925878594249202,-1.0081860223642172,-1.2032379392971244,0
Kris Humphries,,0,0,0,-2.429842,0.023409747,1
Markelle Fultz,phi,1950,78,24.208333333333332,-1.0539624131944445,-1.1636223958333336,0
Nik Stauskas,bkn,986,78,12.545871559633028,-0.9233315596330274,-1.3341904587155962,1
Richaun Holmes,phi,1140,76,15.293785310734464,-0.3913966101694915,0.2116603813559322,1
Robert Covington,phi,2356,76,31.71521472392638,1.1574469325153376,1.5608156058282208,1
T.J. McConnell,phi,1560,78,22.130367692443343,-1.1033305043646944,-0.08287444228903973,1
Timothe Luwawu-Cabarrot,phi,624,78,11.834719334719335,-1.6156303783783785,-1.4176944864864864,1
Alan Williams,phx,165,11,15,-1.4772186,0.9463754,0
Alec Peters,phx,0,0,0.1906614785992218,-2.2748136186770425,-1.1043434824902725,1
Alex Len,phx,1694,77,21.916481835564053,-1.590165535372849,1.0611155831739962,1
Brandon Knight,phx,0,0,0,-0.12853503,-2.2855716,0
Davon Reed,phx,200,40,5,-1.9374382,-1.1280274,0
Derrick Jones Jr.,,390,78,5,-0.7539378,-0.5412602,1
Devin Booker,phx,2730,78,34.395292376017764,2.6506821243523317,-2.5574426350851227,0
Dragan Bender,phx,1140,76,17.890012033694344,-2.3727185920577614,0.003243862815884469,1
Elijah Millsap,,0,0,0,-2.3805242,-0.20694822,1
Eric Bledsoe,mil,2368,74,31.37520597072793,1.696730248618785,-0.6586581952117865,1
Jared Dudley,phx,783,78,11.406661786237189,-0.1114948755490483,0.24174992679355783,1
Josh Jackson,phx,2184,78,24.687135506003433,-3.312156518010292,-0.8429745283018869,1
Marquese Chriss,phx,1950,78,22.33743961352657,-1.9300255434782605,0.5538824275362318,1
TJ Warren,phx,2044,73,28,-0.0330162,-1.1903296,1
Troy Daniels,phx,624,78,12.312345679012346,1.0646832832832833,-3.295681831831832,1
Tyler Ulis,phx,1560,78,22.284872639057355,-1.7995951842546063,-2.46818865159129,1
Tyson Chandler,phx,1848,77,25.095601599418394,-0.8691192748091603,1.1724538645038167,0
Al-Farouq Aminu,por,2156,77,28.913043478260875,-0.28134614130434776,1.7137170108695654,1
Anthony Morrow,,0,0,0,-0.82058561,-1.9973401,1
