Player,Team,OPM,DPM
Damien Wilkins,IND,,
Ike Anigbogu,IND,-3.252727,0.30255684
Jarrod Uthoff,IND,-2.4858336,1.1845821
DeQuan Jones,IND,,
Thaddeus Young,IND,-0.89772141,1.3581294
TJ Leaf,IND,-1.8717608,-0.58810037
Al Jefferson,IND,-2.3208971,0.12333733
Ben Moore,IND,,
Myles Turner,IND,-0.56158721,2.1980565
Glenn Robinson III,IND,-1.0682652,-0.60335606
Bojan Bogdanovic,IND,-0.56815863,-2.8490329
Sindarius Thornwell,LAC,-1.5896978,-0.08277487
Jawun Evans,LAC,-0.53771913,-1.760924
Milos Teodosic,LAC,,
Montrezl Harrell,LAC,-0.60427499,-0.095384143
DeAndre Jordan,LAC,0.64469123,3.3501129
Sam Dekker,LAC,-0.043098688,-0.51854283
Danilo Gallinari,LAC,2.0564923,-0.50050718
C.J. Williams,LAC,,
Brice Johnson,LAC,-1.2008189,0.82599175
Tyrone Wallace,LAC,-0.93749249,-1.2478489
Jamil Wilson,LAC,,
LaDontae Henton,LAC,,
Patrick Beverley,LAC,0.93218195,0.27729675
Lou Williams,LAC,2.3569849,-2.2487631
Austin Rivers,LAC,-0.035421133,-1.6753833
Blake Griffin,LAC,2.3386543,0.82455617
Wesley Johnson,LAC,-1.896853,1.3596777
Willie Reed,LAC,-2.1391234,0.9635334
Marshall Plumlee,LAC,-1.7121123,0.91666812
Kyle Kuzma,LAL,-1.8157524,-0.92529857
Kentavious Caldwell-Pope,LAL,1.2771623,-0.57238996
Lonzo Ball,LAL,-0.093049228,-0.69223315
Corey Brewer,LAL,-2.1263196,0.52216005
Alex Caruso,LAL,,
Josh Hart,LAL,-1.2444165,-0.93599868
Jordan Clarkson,LAL,0.059176922,-2.406075
Larry Nance Jr.,LAL,-1.2468913,1.7824048
Luol Deng,LAL,-0.90481073,0.49771598
Tyler Ennis,LAL,-0.65437591,-1.1879488
Brook Lopez,LAL,0.23348618,0.95685804
Briante Weber,LAL,-1.2335414,-0.85344708
Brandon Ingram,LAL,-1.182098,-1.2043256
Vander Blue,LAL,,
Julius Randle,LAL,-0.61828792,-0.27436164
Thomas Bryant,LAL,-3.1183691,0.22019126
Ivica Zubac,LAL,-2.5632598,0.79456216
Andrew Bogut,LAL,-3.0032244,4.0138626
JaMychal Green,MEM,-1.0108666,0.16883065
Jarell Martin,MEM,-2.4523599,0.26658654
Kobi Simmons,MEM,-3.9566569,-1.9244505
Durand Scott,MEM,,
Durand Scott,MEM,,
Wade Baldwin IV,MEM,-2.3951993,-0.70744622
Andrew Harrison,MEM,-0.5907371,-0.13571435
Mario Chalmers,MEM,-0.5245893,-0.35744926
Wayne Selden,MEM,-1.4012753,-0.74403608
James Ennis III,MEM,-0.8100363,0.3591193
Ivan Rabb,MEM,-2.3267863,-0.33456889
Mike Conley,MEM,3.8607998,-0.74765265
Tyreke Evans,MEM,0.21191594,-0.063682333
Deyonta Davis,MEM,-2.545073,0.89462548
Ben McLemore,MEM,-0.88685191,-1.2253467
Dillon Brooks,MEM,-2.2395172,-1.0626391
Chandler Parsons,MEM,-1.2285936,-0.16540319
Vince Hunter,MEM,-1.240766,-0.098961286
Marc Gasol,MEM,0.011523843,1.6303242
Brandan Wright,MEM,-1.5075126,0.67377961
Rade Zagorac,MEM,-0.51523376,-0.27108142
DeAndre Liggins,MIA,-2.5958214,0.88009346
Josh Richardson,MIA,-0.56420386,0.12994814
Wayne Ellington,MIA,0.34950805,-1.7386768
AJ Hammons,MIA,-2.0250082,1.5086331
Larry Drew II,MIA,-1.5691321,-2.6452844
Goran Dragic,MIA,1.6295158,-1.2392099
Tyler Johnson,MIA,0.34808111,-0.18856166
Kelly Olynyk,MIA,0.00034570694,1.1982782
Dion Waiters,MIA,0.11863297,-0.86206293
Matt Williams Jr.,MIA,,
Bam Adebayo,MIA,-2.0881371,-0.27740848
Derrick Walton Jr.,MIA,-0.76368546,-2.10903
Okaro White,MIA,-2.012536,-0.021522202
James Johnson,MIA,-0.6816057,1.5788924
Rodney McGruder,MIA,-0.3218962,-0.90409172
Justise Winslow,MIA,-1.7304559,0.47056651
Hassan Whiteside,MIA,-1.500685,2.9456174
Erik McCree,MIA,,
Jordan Mickey,MIA,-0.82914078,0.080214694
Udonis Haslem,MIA,-3.8471711,0.19986182
Gary Payton II,MIL,0.85476476,0.2132874
Jason Terry,MIL,-0.9596355,-0.92139828
D.J. Wilson,MIL,-2.2851727,-0.35990399
James Young,MIL,-0.81340492,-0.54057181
Thon Maker,MIL,-0.97117126,0.58570522
Matthew Dellavedova,MIL,-0.42002034,-1.5319717
Xavier Munford,MIL,-0.89103246,-0.40418288
Jabari Parker,MIL,0.68829298,-1.0807616
Malcolm Brogdon,MIL,1.4073472,-0.6438849
Greg Monroe,MIL,0.31595683,1.0503008
Rashad Vaughn,MIL,-1.9786843,-1.0269283
Tony Snell,MIL,-0.52800095,-0.63423419
Khris Middleton,MIL,0.90899938,0.53034002
Sterling Brown,MIL,-1.7987878,-0.55299902
Brandon Rush,MIL,-2.1155844,-0.96389794
Gerald Green,MIL,-1.255797,-1.5053519
John Henson,MIL,-2.6088314,2.1862183
Giannis Antetokounmpo,MIL,2.2528031,2.2276633
Mirza Teletovic,MIL,-0.86720192,-1.5255226
Joel Anthony,MIL,-2.5176663,0.79548573
Jeff Teague,MIN,1.6189809,-0.82089746
Tyus Jones,MIN,-0.30040187,-0.80817896
Anthony Brown,MIN,-1.9447855,-0.60348094
Gorgui Dieng,MIN,-0.96870518,2.6130502
Melo Trimble,MIN,-1.9553483,-1.9718809
Nemanja Bjelica,MIN,-0.71875292,0.7037245
Amile Jefferson,MIN,-1.8855574,0.12120813
Jamal Crawford,MIN,-0.6930306,-2.7840118
Marcus Georges-Hunt,MIN,,
Shabazz Muhammad,MIN,-0.08956337,-3.1203935
Andrew Wiggins,MIN,1.5490651,-1.8883754
Jimmy Butler,MIN,3.8335464,0.9826076
Justin Patton,MIN,-2.5979106,0.36922765
Aaron Brooks,MIN,-1.1776512,-2.0697999
Karl-Anthony Towns,MIN,3.7127409,0.29013291
Cole Aldrich,MIN,-2.21262,2.5597508
Taj Gibson,MIN,-1.9521391,1.079457
DeMarcus Cousins,NOP,2.7048805,2.2869942
Perry Jones III,NOP,,
Ian Clark,NOP,-0.66977,-1.6648545
Omer Asik,NOP,-3.2651248,1.0964936
Charles Cooke,NOP,,
Rajon Rondo,NOP,-1.0481389,-0.38350627
Jrue Holiday,NOP,1.2927288,0.14117433
Jalen Jones,NOP,,
Cheick Diallo,NOP,-3.2389472,1.0972373
Martell Webster,NOP,-1.5458474,-0.96092242
Frank Jackson,NOP,-2.6134546,-2.3348839
Darius Miller,NOP,-1.2196209,-0.91177535
Anthony Davis,NOP,1.065433,3.1851826
Tony Allen,NOP,-1.8997012,1.8541849
Jordan Crawford,NOP,-0.1538198,-1.6163164
Dante Cunningham,NOP,-1.3638489,-0.47049192
Cliff Alexander,NOP,-1.8249519,-0.020562574
Alexis Ajinca,NOP,-3.2244711,1.3974653
Solomon Hill,NOP,-0.84081417,0.70861399
E'Twaun Moore,NOP,-0.76095474,-1.2243587
Enes Kanter,NYK,0.68218851,-1.0166485
Ramon Sessions,NYK,-1.3646475,-1.6040534
Luke Kornet,NYK,-4.0313783,0.95445299
Tim Hardaway Jr.,NYK,1.0016669,-1.4194859
Courtney Lee,NYK,-0.49148571,-1.0625547
Kristaps Porzingis,NYK,0.077794313,2.1338787
Michael Beasley,NYK,-1.6249309,-0.3564949
Kyle O'Quinn,NYK,-1.5577025,1.9341105
Frank Ntilikina,NYK,-1.4491919,-0.59025037
Joakim Noah,NYK,-1.9277883,1.9942828
Willy Hernangomez,NYK,-0.58099091,0.81872129
Xavier Rathan-Mayes,NYK,,
Nigel Hayes,NYK,-2.2105823,-1.0984755
Doug McDermott,NYK,-0.62814331,-2.6708117
Damyean Dotson,NYK,-1.5282155,-1.5652291
Trey Burke,NYK,-0.20220995,-2.7322767
Ron Baker,NYK,-2.0056336,-0.78990483
Lance Thomas,NYK,-2.3394234,-1.3876078
Jarrett Jack,NYK,-1.7309144,-1.2488542
Mindaugas Kuzminskas,NYK,-0.91870499,-1.1394022
Yannis Morin,OKC,,
Chris Wright,OKC,,
Russell Westbrook,OKC,7.7225008,0.84922403
Raymond Felton,OKC,-1.4683346,-0.8521992
Isaiah Canaan,OKC,-0.8823421,-1.9693904
Nick Collison,OKC,-3.1307218,0.70530081
Semaj Christon,OKC,-3.0275741,-1.5291781
Carmelo Anthony,OKC,1.5031579,-1.21525
Alex Abrines,OKC,-0.0067719221,-1.7928908
Jerami Grant,OKC,-1.9918537,0.11304045
Steven Adams,OKC,-0.59866107,2.0221562
Paul George,OKC,2.5211945,0.49672604
Kyle Singler,OKC,-2.4654114,-0.26374626
Andre Roberson,OKC,-1.1864547,1.8390213
