Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Damian Lillard,PG,27,POR,24,887,23.8,.569,.402,.378,3.2,11.8,7.6,30.8,1.3,1.1,11.7,30.2,2.8,1.2,4.0,.214,6.3,-0.2,6.1,1.8
Jeremy Lin,PG,29,BRK,1,25,16.2,.597,.167,.583,0.0,0.0,0.0,26.0,0.0,0.0,16.6,30.1,0.1,0.0,0.1,.101,-2.6,-9.9,-12.5,-0.1
Shaun Livingston,PG,32,GSW,24,374,10.7,.514,.019,.170,5.2,7.9,6.7,15.9,1.3,1.7,14.9,15.5,0.3,0.3,0.6,.080,-2.2,-0.7,-2.9,-0.1
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kevon Looney,C,21,GSW,20,203,11.8,.539,.000,.409,10.8,18.5,15.0,5.0,1.6,6.2,18.8,13.6,0.1,0.4,0.4,.106,-3.1,2.7,-0.4,0.1
Brook Lopez,C,29,LAL,24,552,16.9,.538,.358,.253,5.9,14.9,10.4,12.0,0.8,5.8,12.2,25.2,0.4,0.8,1.2,.102,-0.7,1.0,0.3,0.3
Robin Lopez,C,29,CHI,24,731,15.4,.550,.025,.167,9.3,10.7,10.0,11.9,0.4,2.3,13.2,20.5,0.7,0.3,1.0,.065,-1.1,-0.4,-1.5,0.1
Kevin Love,C,29,CLE,26,760,24.4,.613,.390,.440,10.0,29.2,20.0,10.2,1.1,1.3,10.9,26.8,2.6,0.8,3.4,.216,3.2,-1.7,1.5,0.7
Kyle Lowry,PG,31,TOR,23,758,20.3,.627,.628,.248,2.2,19.5,11.1,31.3,1.4,0.3,16.3,21.1,2.4,0.8,3.2,.202,5.8,0.2,6.0,1.5
Timothe Luwawu-Cabarrot,SF,22,PHI,23,380,8.6,.529,.560,.261,2.8,8.3,5.6,8.0,1.0,0.2,11.8,18.5,0.2,0.2,0.4,.049,-1.3,-2.7,-4.0,-0.2
Tyler Lydon,PF,21,DEN,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.013,-5.4,-0.8,-6.2,0.0
Trey Lyles,PF,22,DEN,20,256,16.3,.564,.391,.276,5.9,22.5,14.1,8.7,1.0,3.0,11.0,18.4,0.4,0.2,0.6,.119,-0.7,-0.9,-1.6,0.0
Shelvin Mack,PG,27,ORL,20,339,12.0,.447,.300,.238,1.6,10.5,6.1,34.2,1.7,0.4,16.9,13.6,0.3,0.2,0.4,.062,-2.2,-1.9,-4.1,-0.2
Josh Magette,PG,28,ATL,8,64,12.6,.472,.333,.333,1.7,8.9,5.3,35.8,1.5,0.0,12.7,10.8,0.1,0.0,0.1,.109,-2.0,-3.7,-5.6,-0.1
Ian Mahinmi,C,31,WAS,25,368,8.9,.535,.000,.538,14.6,14.9,14.8,4.9,1.8,2.3,27.2,13.2,0.1,0.5,0.5,.072,-2.6,1.8,-0.7,0.1
Thon Maker,C,20,MIL,24,456,8.1,.468,.350,.230,6.2,15.5,10.9,5.2,1.8,3.3,14.7,13.1,-0.2,0.4,0.3,.029,-3.2,0.4,-2.8,-0.1
Boban Marjanovic,C,29,DET,6,44,20.9,.636,.000,.522,17.4,13.3,15.4,9.1,2.3,1.9,26.1,38.1,0.0,0.1,0.0,.052,-2.1,-1.4,-3.5,0.0
Lauri Markkanen,PF,20,CHI,24,737,14.2,.523,.523,.200,3.7,25.3,14.0,7.3,0.9,1.5,9.2,22.2,0.2,0.6,0.8,.053,-1.3,-1.3,-2.6,-0.1
Jarell Martin,PF,23,MEM,23,405,7.6,.469,.295,.171,6.4,15.2,10.8,3.9,1.6,4.1,15.7,15.3,-0.3,0.4,0.1,.012,-4.6,1.2,-3.4,-0.1
Frank Mason,PG,23,SAC,18,324,14.6,.543,.220,.390,2.4,10.1,6.1,28.1,1.2,0.0,17.8,23.3,0.2,0.1,0.3,.042,-0.8,-3.5,-4.3,-0.2
Mangok Mathiang,C,25,CHO,1,3,-9.7,.000,.000,.000,35.1,35.6,35.3,0.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0,-0.476,-22.6,-12.0,-34.6,0.0
Wesley Matthews,SG,31,DAL,26,894,10.7,.552,.590,.144,1.1,8.6,4.7,12.4,1.6,0.4,12.2,16.6,0.4,0.6,1.1,.058,0.2,-0.1,0.0,0.5
Luc Mbah a Moute,PF,31,HOU,21,553,10.4,.605,.500,.205,2.3,12.2,7.3,5.4,2.5,1.5,17.9,12.7,0.3,0.9,1.1,.098,-1.2,2.3,1.2,0.4
James Michael McAdoo,PF,25,PHI,1,7,6.3,.512,1.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,17.0,34.8,0.0,0.0,0.0,-0.073,-3.0,-10.1,-13.1,0.0
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Patrick McCaw,SG,22,GSW,23,304,11.9,.603,.464,.130,2.0,5.3,3.8,13.5,2.2,1.0,12.1,11.8,0.5,0.3,0.8,.122,0.5,-1.1,-0.6,0.1
C.J. McCollum,SG,26,POR,23,838,16.3,.549,.327,.166,2.0,11.0,6.6,12.9,1.4,0.8,9.6,24.9,1.1,1.1,2.2,.127,1.3,-0.5,0.8,0.6
T.J. McConnell,PG,25,PHI,21,505,13.4,.572,.136,.102,3.0,11.9,7.5,30.5,2.2,0.7,25.0,13.5,0.6,0.5,1.1,.105,-1.2,0.2,-1.1,0.1
Chris McCullough,PF,22,WAS,6,45,13.2,.449,.238,.381,7.5,22.4,14.9,3.5,0.0,3.8,0.0,24.0,0.0,0.1,0.1,.079,-4.1,-3.2,-7.3,-0.1
Doug McDermott,SF,26,NYK,24,561,10.7,.575,.419,.110,3.8,10.4,7.2,6.9,0.4,1.3,9.5,14.0,0.7,0.3,1.0,.083,0.5,-0.7,-0.2,0.3
JaVale McGee,C,30,GSW,24,193,19.4,.584,.031,.281,10.7,16.8,14.0,9.2,2.0,7.4,11.1,18.1,0.4,0.4,0.8,.194,-0.6,3.1,2.5,0.2
Alfonzo McKinnie,SF,25,TOR,8,25,14.2,.751,.500,.500,0.0,22.7,11.7,5.7,0.0,3.3,12.0,14.6,0.1,0.0,0.1,.176,0.6,-0.8,-0.2,0.0
Ben McLemore,SG,24,MEM,14,261,7.9,.505,.395,.163,2.7,11.4,7.0,8.8,1.6,1.4,15.6,19.4,-0.2,0.2,0.0,-0.005,-3.4,-1.1,-4.5,-0.2
Jodie Meeks,SG,30,WAS,25,417,11.6,.543,.523,.369,1.1,6.7,3.9,3.9,1.5,0.0,7.0,19.7,0.4,0.3,0.7,.083,-0.3,-2.9,-3.2,-0.1
Salah Mejri,C,31,DAL,22,249,19.3,.672,.051,.590,11.9,27.7,19.5,6.1,1.4,10.8,16.9,10.7,0.5,0.5,1.1,.208,-1.9,7.1,5.1,0.5
Jordan Mickey,PF,23,MIA,5,43,14.9,.563,.167,.417,10.6,36.6,23.6,0.0,0.0,5.7,17.4,18.0,0.0,0.1,0.1,.094,-8.3,-3.5,-11.8,-0.1
Khris Middleton,SF,26,MIL,24,884,17.7,.579,.331,.248,2.0,15.4,8.6,19.4,1.7,0.2,12.1,24.7,1.5,0.6,2.1,.114,2.3,-2.1,0.2,0.5
C.J. Miles,SF,30,TOR,20,368,15.0,.577,.783,.161,1.6,10.2,6.0,5.5,1.5,2.0,6.0,21.9,0.6,0.3,1.0,.128,3.1,-2.2,0.9,0.3
Darius Miller,SF,27,NOP,26,514,12.0,.677,.777,.144,0.7,8.0,4.4,7.3,0.8,0.6,9.2,13.8,1.0,0.2,1.1,.104,1.9,-2.5,-0.6,0.2
Patty Mills,PG,29,SAS,26,664,12.4,.526,.595,.140,1.5,8.6,5.1,21.0,1.6,0.6,13.3,17.8,0.6,0.8,1.4,.100,0.7,-1.2,-0.5,0.3
Paul Millsap,PF,32,DEN,16,475,17.7,.531,.287,.322,5.5,17.8,11.5,15.9,1.8,3.6,12.5,23.8,0.5,0.5,1.0,.105,0.3,0.6,0.9,0.4
Nikola Mirotic,F,26,CHI,1,15,7.8,.403,.429,.143,0.0,22.4,10.7,0.0,0.0,5.9,0.0,21.9,0.0,0.0,0.0,-0.037,-9.1,-4.7,-13.7,0.0
Donovan Mitchell,SG,21,UTA,26,764,16.3,.532,.425,.187,2.4,9.9,6.0,19.7,2.4,1.3,12.7,29.1,0.3,1.0,1.3,.083,1.1,-0.6,0.5,0.5
Malik Monk,SG,19,CHO,21,350,8.1,.450,.578,.104,0.6,8.8,4.7,16.4,0.8,0.7,10.1,22.1,-0.3,0.2,-0.1,-0.010,-2.3,-2.4,-4.6,-0.2
Greg Monroe,C,27,TOT,15,302,19.6,.603,.000,.227,10.2,25.6,17.8,16.9,1.4,0.8,17.1,20.7,0.5,0.2,0.7,.119,0.2,-0.5,-0.2,0.1
Greg Monroe,C,27,MIL,5,79,11.7,.489,.000,.121,9.0,28.9,18.9,10.6,0.0,0.0,14.7,23.8,-0.1,0.0,0.0,-0.010,-5.6,-3.8,-9.4,-0.2
Greg Monroe,C,27,PHO,10,223,22.4,.649,.000,.273,10.6,24.4,17.4,19.1,1.9,1.0,18.1,19.5,0.6,0.2,0.8,.164,2.3,0.7,3.0,0.3
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
E'Twaun Moore,SG,28,NOP,26,824,12.6,.610,.391,.070,2.9,6.0,4.5,9.3,1.6,0.4,10.2,15.5,1.1,0.3,1.5,.087,1.1,-1.2,-0.1,0.4
Eric Moreland,PF,26,DET,21,220,9.5,.509,.000,.364,12.4,20.2,16.2,9.4,0.9,5.5,32.0,7.5,0.1,0.3,0.4,.096,-3.2,4.7,1.5,0.2
Marcus Morris,SF,28,BOS,16,387,14.9,.525,.370,.273,2.0,22.5,12.5,10.7,1.3,0.9,8.4,23.3,0.3,0.7,1.0,.122,-1.5,0.1,-1.3,0.1
Markieff Morris,PF,28,WAS,18,429,12.2,.532,.327,.131,4.7,15.9,10.3,7.8,1.3,2.6,13.6,21.1,0.0,0.5,0.5,.058,-1.7,0.2,-1.5,0.1
Timofey Mozgov,C,31,BRK,17,249,11.6,.605,.258,.242,10.2,20.7,15.4,1.8,0.6,2.5,23.4,15.0,0.1,0.2,0.3,.052,-3.7,-0.9,-4.6,-0.2
Emmanuel Mudiay,PG,21,DEN,25,556,12.7,.514,.320,.289,2.5,12.2,7.3,22.5,1.3,0.5,17.4,24.0,0.1,0.3,0.4,.035,-1.4,-2.5,-3.9,-0.3
Shabazz Muhammad,SF,25,MIN,22,250,9.0,.440,.209,.198,5.5,12.2,8.8,4.1,1.0,0.7,2.9,18.0,0.0,0.1,0.1,.018,-3.3,-3.3,-6.5,-0.3
Dejounte Murray,PG,21,SAS,26,472,12.7,.478,.059,.320,6.7,19.3,13.0,19.7,2.3,1.1,19.4,20.6,-0.2,0.8,0.6,.062,-3.2,1.9,-1.3,0.1
Jamal Murray,PG,20,DEN,25,667,14.1,.532,.378,.221,4.6,6.8,5.6,14.2,1.4,0.8,13.0,24.3,0.6,0.3,0.9,.064,0.4,-3.1,-2.6,-0.1
Mike Muscala,C,26,ATL,9,202,10.7,.524,.373,.235,6.1,16.3,11.1,6.4,1.7,2.3,12.4,13.9,0.1,0.2,0.3,.064,-2.1,0.5,-1.6,0.0
Abdel Nader,SF,24,BOS,12,84,4.5,.432,.409,.000,2.7,9.0,5.9,5.2,1.8,3.0,21.4,14.9,-0.2,0.1,0.0,-0.018,-6.4,1.8,-4.6,-0.1
Larry Nance,PF,25,LAL,13,313,18.8,.620,.022,.281,11.4,19.9,15.6,7.2,3.4,2.1,14.5,15.5,0.6,0.6,1.2,.183,0.0,3.0,3.0,0.4
Shabazz Napier,PG,26,POR,20,325,18.0,.607,.337,.337,1.7,10.5,6.2,14.2,3.2,0.5,10.5,17.9,0.7,0.6,1.3,.194,1.4,1.0,2.5,0.4
Jameer Nelson,PG,35,NOP,24,597,9.8,.547,.524,.119,1.3,9.9,5.7,22.4,1.4,0.4,21.8,12.4,0.4,0.3,0.7,.056,-1.5,-1.2,-2.7,-0.1
Raul Neto,PG,25,UTA,16,224,14.0,.570,.324,.191,1.0,11.1,5.9,23.3,1.3,0.8,14.0,17.4,0.3,0.2,0.5,.116,-0.6,-1.2,-1.8,0.0
Joakim Noah,C,32,NYK,2,11,36.4,.644,.000,.667,21.3,30.1,25.8,42.0,4.5,8.5,20.5,19.4,0.1,0.0,0.1,.368,7.8,10.1,17.9,0.1
Nerlens Noel,C,23,DAL,18,225,15.7,.587,.000,.358,12.2,23.6,17.7,4.2,2.2,4.1,19.6,15.3,0.2,0.4,0.6,.131,-3.4,2.8,-0.6,0.1
Lucas Nogueira,C,25,TOR,17,204,17.0,.648,.213,.191,5.3,20.6,13.2,4.1,2.6,8.1,15.0,12.9,0.3,0.4,0.7,.166,-0.8,5.2,4.4,0.3
Dirk Nowitzki,C,39,DAL,26,649,15.4,.560,.383,.133,1.8,24.0,12.5,11.5,1.2,1.0,8.1,19.8,0.7,0.7,1.4,.105,-0.5,0.4,-0.1,0.3
Frank Ntilikina,PG,19,NYK,21,406,6.5,.410,.303,.205,2.3,8.4,5.5,21.9,3.4,0.7,23.6,18.7,-0.8,0.5,-0.3,-0.032,-4.0,1.0,-3.0,-0.1
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jusuf Nurkic,C,23,POR,24,673,15.0,.490,.015,.320,7.2,22.6,15.1,13.0,1.3,3.6,16.5,28.7,-0.7,1.3,0.6,.041,-4.8,2.3,-2.5,-0.1
David Nwaba,SG,25,CHI,12,262,15.8,.608,.117,.467,2.7,23.9,12.8,12.1,1.5,3.4,11.1,13.7,0.4,0.3,0.7,.131,-2.4,2.2,-0.2,0.1
Johnny O'Bryant,PF,24,CHO,10,87,15.5,.507,.205,.256,7.3,15.9,11.6,7.8,1.7,1.9,10.3,24.0,0.0,0.1,0.1,.083,-2.6,-0.6,-3.2,0.0
Royce O'Neale,SF,24,UTA,17,182,9.6,.455,.511,.222,1.2,20.2,10.5,15.1,2.2,0.5,10.8,13.8,0.0,0.3,0.3,.071,-2.8,1.2,-1.6,0.0
Kyle O'Quinn,C,27,NYK,24,393,17.3,.577,.037,.330,11.6,30.9,21.6,17.9,1.4,5.7,24.7,18.4,0.3,0.7,1.0,.127,-1.1,5.1,4.1,0.6
Semi Ojeleye,PF,23,BOS,26,363,4.8,.451,.800,.246,4.4,11.0,7.7,2.3,1.1,0.0,10.0,9.8,-0.1,0.5,0.4,.053,-2.9,-0.1,-3.0,-0.1
Jahlil Okafor,C,22,PHI,2,25,9.0,.465,.000,.444,17.1,20.3,18.8,5.9,0.0,6.7,21.8,22.8,0.0,0.0,0.0,-0.005,-6.9,0.4,-6.5,0.0
Victor Oladipo,SG,25,IND,25,838,22.6,.591,.333,.288,2.2,15.1,8.8,19.2,2.7,2.7,14.2,30.5,1.4,1.1,2.5,.141,3.2,0.7,4.0,1.3
Kelly Olynyk,PF,26,MIA,24,491,16.2,.656,.403,.309,5.1,24.8,15.0,16.0,1.5,2.0,22.5,20.0,0.6,0.6,1.3,.125,0.1,1.7,1.8,0.5
Cedi Osman,SF,22,CLE,18,104,7.1,.523,.435,.087,3.4,24.9,14.6,5.3,0.9,0.8,17.3,12.4,0.0,0.1,0.1,.032,-4.3,-1.3,-5.6,-0.1
Kelly Oubre,SF,22,WAS,25,690,13.8,.556,.432,.303,3.4,18.0,10.7,6.1,1.7,1.4,9.5,18.7,0.8,0.8,1.6,.113,0.0,0.1,0.1,0.4
Zaza Pachulia,C,33,GSW,25,359,15.4,.602,.000,.319,9.5,26.0,18.5,14.1,2.5,1.3,23.6,16.3,0.4,0.7,1.1,.146,-1.3,2.1,0.9,0.3
Marcus Paige,PG,24,CHO,1,3,-19.4,.000,.000,.000,0.0,71.1,35.3,0.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0,-0.606,-33.8,-10.3,-44.1,0.0
Georgios Papagiannis,C,20,SAC,5,35,23.8,.800,.000,.000,6.3,20.7,13.2,10.3,1.4,2.7,9.1,14.1,0.1,0.0,0.2,.218,2.3,-0.2,2.1,0.0
Tony Parker,PG,35,SAS,6,107,20.0,.555,.024,.262,2.1,13.6,7.9,46.2,0.5,0.8,16.1,23.5,0.2,0.1,0.4,.160,0.8,-2.3,-1.5,0.0
Chandler Parsons,SF,29,MEM,20,409,16.9,.653,.533,.126,2.3,13.6,7.9,15.4,1.3,1.3,11.8,18.3,0.8,0.3,1.1,.133,2.7,-1.2,1.5,0.4
Patrick Patterson,PF,28,OKC,24,331,6.2,.493,.700,.033,1.6,12.8,7.0,4.6,2.3,0.9,14.1,9.2,-0.1,0.5,0.4,.063,-3.7,1.0,-2.7,-0.1
Brandon Paul,SG,26,SAS,26,295,10.3,.579,.523,.292,0.8,11.0,5.9,11.8,2.6,0.9,17.9,13.6,0.1,0.5,0.6,.097,-1.4,0.6,-0.8,0.1
Chris Paul,PG,32,HOU,9,267,23.8,.568,.469,.167,2.6,15.4,9.1,51.9,3.3,1.0,13.4,19.3,1.2,0.5,1.7,.300,5.0,1.0,6.0,0.5
Elfrid Payton,PG,23,ORL,18,507,16.2,.523,.182,.218,4.3,10.2,7.3,35.4,2.6,1.1,20.1,20.0,0.4,0.4,0.8,.080,0.1,0.0,0.1,0.3
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Gary Payton,PG,25,MIL,8,50,3.5,.406,.438,.000,2.4,14.4,8.4,11.7,1.0,0.0,11.1,16.6,-0.1,0.0,0.0,-0.046,-4.7,-3.5,-8.2,-0.1
Alec Peters,PF,22,PHO,2,14,7.8,.375,1.000,.000,0.0,22.8,11.2,0.0,0.0,11.1,0.0,11.8,0.0,0.0,0.0,.004,-6.5,-0.1,-6.5,0.0
Mason Plumlee,C,27,DEN,25,444,14.8,.534,.009,.616,8.8,20.1,14.3,14.1,1.8,4.5,19.7,17.2,0.2,0.5,0.7,.077,-2.3,2.4,0.1,0.2
Miles Plumlee,C,29,ATL,5,67,7.7,.540,.000,.154,10.0,22.1,15.9,4.3,1.5,4.1,36.6,14.3,-0.1,0.1,0.0,-0.033,-7.2,1.7,-5.4,-0.1
Jakob Poeltl,C,22,TOR,23,370,20.8,.673,.000,.324,15.3,17.2,16.2,3.3,1.2,4.9,12.7,16.8,1.1,0.5,1.6,.206,1.9,1.0,2.8,0.5
Quincy Pondexter,SF,29,CHI,15,158,5.9,.435,.452,.405,5.1,8.5,6.7,5.6,2.2,1.1,15.4,16.3,-0.2,0.1,-0.1,-0.024,-5.1,-0.8,-5.9,-0.2
Otto Porter,SF,24,WAS,24,781,18.5,.588,.314,.118,4.2,19.4,11.8,8.4,2.4,1.4,5.6,18.1,1.6,1.1,2.8,.171,2.2,1.4,3.7,1.1
Bobby Portis,PF,22,CHI,15,325,18.7,.548,.318,.209,8.4,25.8,16.7,13.4,0.5,1.4,11.0,24.7,0.4,0.2,0.6,.087,-0.1,-1.3,-1.4,0.1
Kristaps Porzingis,PF,22,NYK,20,632,24.0,.573,.249,.343,4.6,19.0,12.1,6.1,0.8,6.1,9.4,33.8,1.4,0.8,2.2,.165,1.1,-0.6,0.4,0.4
Dwight Powell,C,26,DAL,25,449,16.2,.566,.311,.295,8.5,22.4,15.2,8.5,2.1,2.3,11.0,15.6,0.7,0.6,1.3,.139,-0.6,2.2,1.6,0.4
Norman Powell,SG,24,TOR,19,413,12.7,.558,.465,.215,1.2,9.3,5.4,12.7,2.4,1.4,14.6,19.7,0.3,0.4,0.7,.083,0.2,0.0,0.2,0.2
Alex Poythress,PF,24,IND,7,20,10.2,1.000,.667,.000,0.0,21.9,11.1,0.0,0.0,0.0,25.0,8.8,0.0,0.0,0.0,.083,-1.8,-5.0,-6.8,0.0
Jacob Pullen,PG,28,PHI,2,2,-19.9,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,0.0,0.0,-0.483,-15.1,-7.2,-22.3,0.0
Zhou Qi,C,22,HOU,11,58,3.3,.331,.550,.300,3.9,17.2,10.7,2.3,1.7,8.8,15.0,19.9,-0.2,0.1,-0.1,-0.064,-9.8,2.9,-6.9,-0.1
Ivan Rabb,PF,20,MEM,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.010,-6.1,-0.1,-6.2,0.0
Julius Randle,C,23,LAL,24,533,17.0,.595,.111,.478,5.7,24.3,15.0,13.0,1.0,2.9,17.5,23.6,0.5,0.8,1.3,.117,-1.8,1.1,-0.8,0.2
Zach Randolph,PF,36,SAC,23,588,20.6,.555,.178,.147,7.3,24.1,15.3,16.2,1.8,0.7,11.7,26.9,0.7,0.5,1.2,.096,1.4,-0.9,0.5,0.4
J.J. Redick,SG,33,PHI,22,732,13.2,.567,.484,.178,0.7,7.8,4.3,16.1,0.9,0.2,9.4,19.4,1.2,0.4,1.7,.108,1.4,-2.4,-1.1,0.2
Willie Reed,C,27,LAC,21,220,21.4,.699,.016,.547,8.9,23.4,15.9,3.8,0.9,3.1,10.2,17.6,0.7,0.2,0.9,.201,0.5,-1.7,-1.2,0.0
Josh Richardson,SF,24,MIA,24,778,7.8,.512,.524,.116,2.0,7.8,4.9,9.3,1.8,1.8,18.3,16.8,-0.6,0.6,0.0,.000,-2.5,0.8,-1.7,0.1
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Malachi Richardson,SG,22,SAC,12,140,9.0,.492,.429,.310,1.6,7.8,4.5,6.3,2.2,0.0,5.9,16.3,0.0,0.0,0.1,.033,-2.1,-2.7,-4.8,-0.1
Austin Rivers,SG,25,LAC,23,774,12.3,.513,.427,.209,1.8,5.5,3.6,16.1,2.2,0.4,11.5,21.0,0.4,0.2,0.7,.043,0.4,-2.3,-1.9,0.0
Andre Roberson,SF,26,OKC,24,622,10.1,.569,.316,.133,7.3,11.1,9.1,5.9,1.6,3.2,18.8,8.9,0.4,0.9,1.3,.099,-2.0,2.7,0.7,0.4
Rajon Rondo,PG,31,NOP,12,286,15.3,.525,.325,.000,2.0,15.1,8.7,42.3,1.3,0.6,20.0,15.2,0.5,0.2,0.7,.117,-0.4,-1.8,-2.2,0.0
Derrick Rose,PG,29,CLE,7,188,11.8,.542,.157,.253,4.4,6.3,5.4,10.3,0.5,0.5,17.1,26.4,-0.1,0.0,0.0,-0.011,-3.7,-4.2,-7.9,-0.3
Terrence Ross,SG,26,ORL,22,576,10.5,.515,.480,.198,1.9,11.2,6.6,8.6,2.2,1.3,11.5,16.4,0.0,0.4,0.4,.037,-1.3,0.1,-1.2,0.1
Terry Rozier,PG,23,BOS,27,630,14.0,.503,.522,.183,3.6,17.3,10.6,12.8,2.4,0.1,6.8,18.9,0.6,1.2,1.7,.133,0.2,1.2,1.4,0.5
Ricky Rubio,PG,27,UTA,25,719,13.1,.517,.395,.351,2.0,12.7,7.2,26.0,3.0,0.5,21.2,22.9,-0.1,1.1,0.9,.063,-1.1,1.0,-0.1,0.3
D'Angelo Russell,PG,21,BRK,12,333,19.3,.539,.298,.307,2.8,14.9,8.7,38.5,1.7,0.5,17.1,35.0,0.1,0.3,0.4,.054,2.7,-0.7,2.0,0.3
Domantas Sabonis,PF,21,IND,24,595,18.5,.599,.055,.453,12.4,26.4,19.5,12.6,0.6,1.0,16.9,21.3,1.3,0.6,1.8,.149,0.4,-0.1,0.3,0.3
JaKarr Sampson,SF,24,SAC,5,83,10.4,.531,.118,.118,10.7,26.2,18.1,3.5,0.6,1.2,5.3,10.2,0.1,0.0,0.2,.098,-2.8,-1.6,-4.5,-0.1
Dario Saric,PF,23,PHI,23,657,12.2,.520,.438,.162,7.7,15.9,11.9,9.6,0.8,1.1,11.9,18.0,0.5,0.6,1.1,.079,-0.4,-0.6,-0.9,0.2
Tomas Satoransky,SG,26,WAS,16,255,14.7,.563,.250,.383,4.0,11.0,7.5,24.2,1.4,0.0,9.1,13.3,0.6,0.2,0.8,.158,1.2,-0.9,0.2,0.1
Dennis Schroder,PG,24,ATL,22,712,19.2,.528,.201,.190,2.8,7.7,5.2,36.7,1.7,0.0,12.7,30.1,1.0,0.2,1.2,.080,2.4,-2.8,-0.4,0.3
Mike Scott,PF,29,WAS,22,388,13.6,.601,.298,.168,4.0,17.0,10.5,6.2,1.0,1.1,13.5,18.5,0.4,0.4,0.8,.095,-0.9,-0.9,-1.8,0.0
Thabo Sefolosha,SF,33,UTA,25,521,17.6,.627,.369,.208,3.5,21.3,12.2,6.1,3.5,1.0,9.5,15.6,0.9,1.0,1.9,.179,0.7,2.2,2.9,0.6
Wayne Selden,SG,23,MEM,2,19,15.2,.717,.500,.500,0.0,12.5,6.2,33.0,2.7,0.0,38.1,19.2,0.0,0.0,0.0,.071,-2.3,-2.3,-4.6,0.0
Ramon Sessions,PG,31,NYK,10,149,7.6,.414,.224,.306,0.8,9.6,5.3,25.1,2.3,0.6,20.1,20.4,-0.2,0.1,-0.1,-0.028,-4.6,-0.8,-5.4,-0.1
Iman Shumpert,SG,27,CLE,13,271,7.0,.487,.439,.263,3.0,13.2,8.3,8.4,1.6,1.6,21.1,13.3,-0.2,0.2,0.0,.002,-3.5,0.2,-3.3,-0.1
Pascal Siakam,PF,23,TOR,22,458,14.8,.545,.326,.145,5.8,19.3,12.7,11.8,2.2,1.8,11.5,15.9,0.5,0.6,1.1,.118,0.6,1.9,2.5,0.5
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Ben Simmons,PG,21,PHI,23,830,19.4,.518,.024,.359,6.6,20.4,13.7,32.9,2.9,1.9,17.8,23.9,0.7,1.4,2.1,.122,0.5,3.6,4.1,1.3
Jonathon Simmons,SG,28,ORL,27,748,13.1,.567,.239,.339,3.5,9.2,6.4,9.9,1.3,0.4,15.2,23.7,0.3,0.3,0.6,.037,-1.2,-2.1,-3.3,-0.2
Kobi Simmons,PG,20,MEM,1,5,13.9,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,.162,2.1,-4.3,-2.2,0.0
Kyle Singler,SF,29,OKC,2,25,7.3,.486,.400,.300,0.0,14.1,6.8,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,.052,-5.5,-6.8,-12.2,-0.1
Marcus Smart,SG,23,BOS,25,762,9.4,.436,.476,.288,3.1,11.0,7.2,25.1,2.0,1.2,18.6,18.9,-0.5,1.3,0.7,.047,-2.3,1.5,-0.8,0.2
Dennis Smith,PG,20,DAL,23,647,11.5,.465,.332,.150,3.3,12.7,7.9,25.6,1.5,1.0,16.2,29.6,-1.2,0.6,-0.6,-0.048,-2.5,-0.4,-2.9,-0.1
