Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Malcolm Brogdon,PG,25,MIL,23,698,14.4,.567,.346,.138,0.8,10.2,5.5,19.6,1.5,0.5,11.2,19.4,0.9,0.3,1.3,.087,0.9,-2.7,-1.8,0.0
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Aaron Brooks,PG,33,MIN,11,53,16.5,.594,.476,.095,4.3,8.8,6.6,20.7,0.9,0.0,8.4,19.8,0.1,0.0,0.2,.140,3.5,-4.3,-0.8,0.0
Dillon Brooks,SF,22,MEM,25,707,7.7,.540,.333,.188,2.7,11.7,7.2,6.9,1.7,1.4,17.5,14.2,-0.2,0.5,0.3,.023,-2.6,0.6,-2.0,0.0
Bobby Brown,PG,33,HOU,16,102,3.8,.401,.673,.041,0.0,7.6,3.9,14.7,1.4,0.0,13.8,24.6,-0.3,0.1,-0.2,-0.081,-5.8,-3.4,-9.3,-0.2
Jaylen Brown,SF,21,BOS,25,785,14.2,.558,.379,.321,4.0,16.3,10.3,6.7,1.8,0.7,10.8,21.1,0.6,1.3,2.0,.120,-0.4,0.5,0.1,0.4
Lorenzo Brown,PG,27,TOR,5,47,5.1,.167,.500,.000,0.0,16.9,8.7,12.7,3.1,0.0,0.0,5.6,0.0,0.1,0.0,.030,-3.9,2.8,-1.1,0.0
Sterling Brown,SG,22,MIL,5,29,8.1,.375,.333,.000,8.2,12.4,10.3,10.4,3.5,0.0,7.7,20.7,0.0,0.0,0.0,-0.031,-3.7,-2.0,-5.8,0.0
Nicolas Brussino,SF,24,ATL,4,10,-4.7,.000,1.000,.000,0.0,34.1,16.9,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,-0.184,-13.4,-5.0,-18.4,0.0
Reggie Bullock,SF,26,DET,11,166,6.7,.370,.594,.125,2.0,6.3,4.1,9.5,2.4,1.0,5.6,9.4,-0.1,0.2,0.1,.032,-3.0,1.1,-1.9,0.0
